Event_Title,Date,Time,Venue,Address,url,Latitude,Longitude
Madam Nightingale with special guest Aj’Zho,2024-12-05,19:00,Mamma Chen's,"42A Albert St, Footscray VIC 3011, Australia",https://www.facebook.com/events/1577988486234023/,-37.8047552,144.89727240000002
Dance Concert,2024-12-05,10:00,The Timber Yard,"351 Plummer Street Port Melbourne, VIC 3207",https://www.eventbrite.com.au/e/dance-concert-tickets-941759838027?aff=ebdssbdestsearch,-37.8331097,144.9214734
Adult Beginner Ballet Classes,2024-12-05,06:30,Dance Factory,"Melbourne VIC, Australia 225 Swan St Richmond Melbourne, VIC",https://www.eventbrite.com.au/e/adult-beginner-ballet-classes-tickets-933188220087?aff=ebdssbdestsearch,-37.8257354,144.9998261
Adult Beginner Jazz Classes,2024-12-05,07:30,Dance Factory,"Melbourne VIC, Australia 225 Swan St Richmond Melbourne, VIC",https://www.eventbrite.com.au/e/adult-beginner-jazz-classes-tickets-933189293297?aff=ebdssbdestsearch,-37.8257354,144.9998261
Adult Dance Acro Classes,2024-12-05,10:30,Dance Factory,"Melbourne VIC, Australia 225 Swan St Richmond Melbourne, VIC",https://www.eventbrite.com.au/e/adult-dance-acro-classes-tickets-933185371567?aff=ebdssbdestsearch,-37.8257354,144.9998261
Wreath Making Workshop,2024-12-05,18:30,Town & Country Gardens,"1311 High Street Malvern, VIC 3144",https://www.eventbrite.com.au/e/wreath-making-workshop-tickets-1089239908889?aff=ebdssbdestsearch,-37.8575834,145.0378181
DBSC - Daima Celebration Event 2 - Gameology BRUNSWICK - 05/12/2024,2024-12-05,06:30,Gameology Brunswick,"36 Hope Street Brunswick, VIC 3056",https://www.eventbrite.com.au/e/dbsc-daima-celebration-event-2-gameology-brunswick-05122024-tickets-1052968686687?aff=ebdssbdestsearch,-37.7636924,144.9595539
Bachata Vibes Thursdays - 5 levels of Bachata classes & party,2024-12-05,18:30,Second Story Studios,"222A Johnston Street Collingwood, VIC 3066",https://www.eventbrite.com.au/e/bachata-vibes-thursdays-5-levels-of-bachata-classes-party-tickets-1004019438167?aff=ebdssbdestsearch,-37.799574,144.9924468
Intro to Saddlery: Barcoo Bridle Making 2 Day Workshop,2024-12-05,10:00,Leffler Leather,"171 Kensington Road West Melbourne, VIC 3003",https://www.eventbrite.com.au/e/intro-to-saddlery-barcoo-bridle-making-2-day-workshop-tickets-1002893530547?aff=ebdssbdestsearch,-37.8000316,144.9177826
VALENTA: CALL ME UR VANDAL,2024-12-05,19:30,Bad Decisions Bar,"46 Johnston Street Fitzroy, VIC 3065",https://www.eventbrite.com.au/e/valenta-call-me-ur-vandal-tickets-1070317250709?aff=ebdssbdestsearch,-37.7982682,144.9762913
Requiem for Men,2024-12-05,19:00,The Butterfly Club,"5 Carson Place Melbourne, VIC 3000",https://www.eventbrite.co.uk/e/requiem-for-men-tickets-1001061250147?aff=ebdssbdestsearch,-37.8154472,144.9652725
Beaded Jewellery Making Workshop for Beginners,2024-12-05,18:00,Abbotsford Convent,"1 Saint Heliers Street Abbotsford, VIC 3067",https://www.eventbrite.com.au/e/beaded-jewellery-making-workshop-for-beginners-tickets-1068847494629?aff=ebdssbdestsearch,-37.8026835,145.0027506
Flesh & Blood - Skirmish Season 10 - Gameology CLAYTON SOUTH - 05/12/2024,2024-12-05,06:30,Gameology,"12 Eileen Road Clayton South, VIC 3169",https://www.eventbrite.com.au/e/flesh-blood-skirmish-season-10-gameology-clayton-south-05122024-tickets-1043391701667?aff=ebdssbdestsearch,-37.9512104,145.1347381
Deep Roots Collective - Brasileiros Empreendendores em Melbourne,2024-12-05,17:00,Multicultural Hub,"506 Elizabeth Street Melbourne, VIC 3000",https://www.eventbrite.com.au/e/deep-roots-collective-brasileiros-empreendendores-em-melbourne-tickets-1082768201839?aff=ebdssbdestsearch,-37.8068236,144.9600646
ZIQO Launch party,2024-12-05,19:00,The Emerson Rooftop Bar and Club,"141-145 Commercial Road South Yarra, VIC 3141",https://www.eventbrite.com/e/ziqo-launch-party-tickets-1095963027919?aff=ebdssbdestsearch,-37.8462997,144.9911964
Comedy @ Sonder,2024-12-05,20:30,Sonder Bar,"438 Centre Road Bentleigh, VIC 3204",https://www.eventbrite.com.au/e/comedy-sonder-tickets-1018428806977?aff=ebdssbdestsearch,-37.918552,145.038282
Madam Nightingale with special guest Aj’Zho,2024-12-05,19:00,Mamma Chen's,"42A Albert Street Footscray, VIC 3011",https://www.eventbrite.com.au/e/madam-nightingale-with-special-guest-ajzho-registration-1088467207719?aff=ebdssbdestsearch,-37.80225,144.897519
Ty Gray & Friends - Workin' It Out (A Comedy Trial Show),2024-12-05,19:00,Caz Reitop's Dirty Secrets,"80 Smith Street Collingwood, VIC 3066",https://www.eventbrite.com.au/e/ty-gray-friends-workin-it-out-a-comedy-trial-show-tickets-1080122307899?aff=ebdssbdestsearch,-37.8059003,144.9831738
Private Wheel Throwing Workshop with Kiln Firing,2024-12-05,16:00,"Heer Pottery - unit 3/29-31 Clarice Rd, Box Hill South VIC","29-31 Clarice Road #unit 3 Box Hill South, VIC 3128",https://www.eventbrite.com.au/e/private-wheel-throwing-workshop-with-kiln-firing-tickets-1057774515049?aff=ebdssbdestsearch,-37.8333911,145.1339829
"Blue Lotus Ceremony: Meditation, Herbal Energetics + Sound Healing",2024-12-05,18:00,Tree of Life Integral Centre,"3 Denmark Street Kew, VIC 3101",https://www.eventbrite.com.au/e/blue-lotus-ceremony-meditation-herbal-energetics-sound-healing-tickets-1040482239387?aff=ebdssbdestsearch,-37.8132659,145.027641
LEGO® Robotics Open Day,2024-12-05,16:00,Balwyn Library,"336 Whitehorse Road Balwyn, VIC 3103",https://www.eventbrite.com.au/e/lego-robotics-open-day-tickets-1098280970949?aff=ebdssbdestsearch,-37.8135133,145.0855371
"""FREE-ish"" LIVE JAZZ: in Melbourne's Historic Bluestone Cellar c1854",2024-12-05,19:00,"Life's Too Short Bar, Tribeca Arcade, Victoria Parade, East Melbourne VIC, Australia","412 Victoria Parade #Shop 2 East Melbourne, VIC 3002",https://www.eventbrite.com.au/e/free-ish-live-jazz-in-melbournes-historic-bluestone-cellar-c1854-tickets-805465849037?aff=ebdssbdestsearch,-37.8096207,144.985273
City LOVE Scavenger Hunt Date Night For Couples - Melbourne Vic Area,2024-12-05,13:00,**Recommended starting point or another city spot of your choice! (MUST USE PDF TICKETS-NO QR CODES),"33 Lincoln Square South Carlton, VIC 3053",https://www.eventbrite.com/e/city-love-scavenger-hunt-date-night-for-couples-melbourne-vic-area-tickets-910283571667?aff=ebdssbdestsearch,-37.8033885,144.9623452
1-2-3 Magic® & Emotion Coaching,2024-12-05,08:30,489 Elizabeth St,"489 Elizabeth Street Melbourne, VIC 3000",https://www.eventbrite.com/e/1-2-3-magic-emotion-coaching-tickets-1056205532179?aff=ebdssbdestsearch,-37.8074904,144.9597627
"FeelGoodFlows - Sunrise Yoga Thursdays - Meditation, Breathwork, & Mobility",2024-12-05,06:30,South Melbourne Life Saving Club,"72B Beaconsfield Parade Albert Park, VIC 3206",https://www.eventbrite.com.au/e/feelgoodflows-sunrise-yoga-thursdays-meditation-breathwork-mobility-tickets-1044511310447?aff=ebdssbdestsearch,-37.8471341,144.9466738
Private Hand Building Workshop with Kiln Firing,2024-12-05,02:30,"Heer Pottery - unit 3/29-31 Clarice Rd, Box Hill South VIC","29-31 Clarice Road #unit 3 Box Hill South, VIC 3128",https://www.eventbrite.com.au/e/private-hand-building-workshop-with-kiln-firing-tickets-1059244391489?aff=ebdssbdestsearch,-37.8333911,145.1339829
Business Networking - Williamstown,2024-12-05,06:45,Customs House Hotel Williamstown,"161 Nelson Place Williamstown, VIC 3016",https://www.eventbrite.com.au/e/business-networking-williamstown-tickets-906597145467?aff=ebdssbdestsearch,-37.863157,144.903962
Private Hand Building Workshop with Glaze and Firing,2024-12-05,02:30,"Heer Pottery - unit 3/29-31 Clarice Rd, Box Hill South VIC","29-31 Clarice Road #unit 3 Box Hill South, VIC 3128",https://www.eventbrite.com.au/e/private-hand-building-workshop-with-glaze-and-firing-tickets-1059231723599?aff=ebdssbdestsearch,-37.8333911,145.1339829
