Event_Title,Date,Time,Venue,Address,url
Fotis Vergopoulos | Brunswick Ballroom,29/11/2024,18:30,Brunswick Ballroom,"314 Sydney Rd, Brunswick VIC 3056, Australia",https://www.facebook.com/events/964204142414565/
3:30 Pick Up and Yard Duty at Lucky 13,29/11/2024,20:00,Lucky 13 Garage,"8 Cochranes Rd, Moorabbin VIC 3189, Australia",https://www.facebook.com/events/1575805869716619/
"AMPHI & Friends // with Interimm (Live), Bex and Mo",29/11/2024,20:00,Wax Music Lounge,"250 Flinders St, Melbourne VIC 3000, Australia",https://www.facebook.com/events/519102081100164/
Milo Eastwood with Mothafunk at Kindred Bandroom,29/11/2024,20:00,Kindred Bandroom,"3 Harris St, Footscray VIC 3011, Australia",https://www.facebook.com/events/1934297767074884/
THE PENNY BLACK PRESENTS...A CHRISTMAS MASH UP,29/11/2024,19:00,The Penny Black,"420 Sydney Rd, Brunswick VIC 3056, Australia",https://www.facebook.com/events/890233243059084/
Cloning | Melbourne | Australian Tour 2024 | The Workers Club,29/11/2024,20:00,The Workers Club,"51 Brunswick St, Fitzroy VIC 3065, Australia",https://www.facebook.com/events/1569289953942033/
Hugh Stuckey Trio,29/11/2024,19:30,Uptown Jazz Cafe,"1/177 Brunswick St, Fitzroy VIC 3065, Australia",https://www.facebook.com/events/528515086675002/
The LINDA RONSTADT Show | Featuring Lisa Mio & The Wild Dreamers,29/11/2024,18:30,arcobar heatherton,"8 Arco Ln, Heatherton VIC 3202, Australia",https://www.facebook.com/events/1868337756994118/
BLOOD DIAMOND MELBOURNE LAUNCH,29/11/2024,21:00,Laundry Bar,"50 Johnston St, Fitzroy VIC 3065, Australia",https://www.facebook.com/events/1069021031291019/
Beaufort Beats x Revolver Fridays,29/11/2024,22:00,Revolver Upstairs,"Level 2/229 Chapel St, Prahran VIC 3181, Australia",https://www.facebook.com/events/1663607770865411/
Bakushi: Shibari evening with Yagami Ren,29/11/2024,19:00,Second Story,"222A Johnston St, Collingwood VIC 3066, Australia",https://www.facebook.com/events/8809337909126669/
"RADIUM DOLLS | MAN SCOUT SINGLE TOUR, The Curtin, Melbourne",29/11/2024,21:00,THE CURTIN (John Curtin hotel),"29 Lygon St, Carlton VIC 3053, Australia",https://www.facebook.com/events/1580879152527241/
THE REGROWTH TOUR - NAARM,29/11/2024,20:00,Laundry Bar,"50 Johnston St, Fitzroy VIC 3065, Australia",https://www.facebook.com/events/1559493408003884/
THE RIONS - MELBOURNE - NORTHCOTE THEATRE - HAPPINESS IN PLACES TOUR [LIC/AA],29/11/2024,19:00,Northcote Theatre,"216 High St, Northcote VIC 3070, Australia",https://www.facebook.com/events/461985866827664/
Tora Live in Melbourne @ 170 Russell,29/11/2024,19:00,170 Russell,"170 Russell St, Melbourne VIC 3000, Australia",https://www.facebook.com/events/549701127413257/
Katchafire - Melbourne,29/11/2024,20:00,The Night Cat,"137-141 Johnston St, Fitzroy VIC 3065, Australia",https://www.facebook.com/events/387135807768962/
Sniffer Dog / Eagle vs Drone joint Album Launch,29/11/2024,20:00,Bar 303,"303 High St, Northcote VIC 3070, Australia",https://www.facebook.com/events/408121785680711/
"The Idea of North: Live, actually | Melbourne",29/11/2024,19:30,The Thornbury Theatre,"859 High St, Thornbury VIC 3071, Australia",https://www.facebook.com/events/997685448516863/
"La Descarga Album Launch ""Fiesta de Corazon"" w/ Agobloco and DJ Paprika",30/11/2024,13:00,Brunswick Ballroom,"314 Sydney Rd, Brunswick VIC 3056, Australia",https://www.facebook.com/events/1352705972104342/
Andrew Swann Jump Funk Combo Live in the Glasshouse,30/11/2024,16:00,Transport Hotel,"Transport Hotel, Ground Level Federation Square, Melbourne VIC 3000, Australia",https://www.facebook.com/events/530453529847830/
The Elvis Big Band - Christmas Spectacular!  Northcote Theatre Nov 30th,30/11/2024,19:00,Northcote Theatre,"216 High St, Northcote VIC 3070, Australia",https://www.facebook.com/events/866374311797614/
"SLOW GRIND FEVER #107 (*9pm, *CASH ONLY*)",30/11/2024,21:00,Bar Open,"317 Brunswick St, Fitzroy VIC 3065, Australia",https://www.facebook.com/events/1117439066603008/
LEVELS MELBOURNE | 30.11.24 | HOSTED BY QUAVO,30/11/2024,21:30,Brown Alley,"585 Lonsdale St, Melbourne VIC 3000, Australia",https://www.facebook.com/events/1067349348269371/
ADHESION - 'UNLEADED' ALBUM LAUNCH,30/11/2024,19:00,Bad Decisions Bar,"46 Johnston St, Fitzroy VIC 3065, Australia",https://www.facebook.com/events/573894678367621/
"HOMEBASS feat. EPUTTY, BOYDEX & LENG LEWN",30/11/2024,20:30,Bar 303,"303 High St, Northcote VIC 3070, Australia",https://www.facebook.com/events/566445886073913/
The Journey | Alchemy Trance Classics feat. Binary Finary (2 Hour Classics Set),30/11/2024,20:00,24 Moons,"2 Arthurton Rd, Northcote VIC 3070, Australia",https://www.facebook.com/events/1202441690991267/
"CHI WOW WAH CITY - Melbourne - Viken Arman (FR), Uone, Amaru Tribe-Live + ",30/11/2024,21:00,The Night Cat,"137-141 Johnston St, Fitzroy VIC 3065, Australia",https://www.facebook.com/events/491857240259009/
 INXSIVE live at LUCKY 13 GARAGE,30/11/2024,20:00,Lucky 13 Garage,"8 Cochranes Rd, Moorabbin VIC 3189, Australia",https://www.facebook.com/events/3469856299985636/
Soul Chisel @ Oakleigh Music Hall,30/11/2024,20:30,Oakleigh Carnegie RSL,"95/97 Drummond St, Oakleigh VIC 3166, Australia",https://www.facebook.com/events/3513486142296206/
Mexican Cooking Workshop,30/11/2024,10:00,CERES Environment Park,"Stewart St & Roberts St East, Brunswick VIC 3056, Australia",https://www.facebook.com/events/1283682626099402/
