Venue_Name,Address,Description,Website,Facebook_Link,Latitude,Longitude
Northcote Social Club,"301 High St, Northcote VIC 3070, Australia","bar, restaurant, food, point_of_interest, establishment",http://northcotesocialclub.com/,https://www.facebook.com/northcotesocialclub,-37.771471,144.998414
170 Russell,"170 Russell St, Melbourne VIC 3000, Australia","point_of_interest, establishment",http://170russell.com/,https://www.facebook.com/170russell,-37.8120109,144.9679369
Melbourne Public,"11 Dukes Walk, South Wharf VIC 3006, Australia","bar, restaurant, point_of_interest, food, establishment",https://melbournepublic.com.au/,https://www.facebook.com/MelbournePublic,-37.82429308,144.95070613387392
Open Studio,"204 High St, Northcote VIC 3070, Australia","bar, point_of_interest, establishment",http://www.openstudiobar.com.au/,https://www.facebook.com/openstudio.bar,-37.7742382,144.9981587
Prince Bandroom,"29 Fitzroy St, St Kilda VIC 3182, Australia","bar, point_of_interest, establishment",https://theprince.com.au/prince-bandroom/,https://www.facebook.com/theprincebandroom,-37.85747233,144.98140261298386
The Gem Bar and Dining,"289 Wellington St, Collingwood VIC 3066, Australia","bar, point_of_interest, establishment",http://www.thegembar.com.au/,https://www.facebook.com/thegembarau,-37.7963837,144.9875917
Tempo Rubato,"34 Breese St, Brunswick VIC 3056, Australia","bar, point_of_interest, establishment",http://www.temporubato.com.au/,https://www.facebook.com/temporubato.au,-37.7620474,144.9617907
Musicland Melbourne,"1359 Sydney Rd, Fawkner VIC 3060, Australia","point_of_interest, establishment",https://www.musiclandlive.com/,https://www.facebook.com/musiclandmelbourne,-37.6916774,144.9585701581541
Cactus Room,"614 High St, Thornbury VIC 3071, Australia","store, bar, point_of_interest, establishment",http://www.cactusroom.com.au/,https://www.facebook.com/cactusroommelbourne,-37.76125825,145.00041662186553
Naughty Nancy's,"190 Chapel St, Prahran VIC 3181, Australia","bar, restaurant, point_of_interest, food, establishment",http://naughtynancys.com.au/,https://www.facebook.com/nancyschapelst,-37.8514455,144.9935576
The Workers Club,"51 Brunswick St, Fitzroy VIC 3065, Australia","bar, restaurant, food, point_of_interest, establishment",http://www.theworkersclub.com.au/,https://www.facebook.com/theworkersclub,-37.8055776,144.9769450659087
Imperial South Yarra,"522 Chapel St, South Yarra VIC 3141, Australia","restaurant, bar, food, point_of_interest, establishment",https://www.imperialsouthyarra.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=plcid_509697143426896053,https://www.facebook.com/imperialsouthyarra,-37.8415027,144.9953712
The Last Chance,"238 Victoria St, Melbourne VIC 3000, Australia","bar, point_of_interest, establishment",http://www.thelastchance.com.au/,https://www.facebook.com/thelastchancerockandrollbar,-37.8059962,144.9585654
Lona St Kilda,"Unit 64/66 Acland St, St Kilda VIC 3182, Australia","restaurant, bar, food, point_of_interest, establishment",http://lona.com.au/,https://www.facebook.com/LonaStKilda,-37.86668052,144.978209
MEMO Music Hall,"88 Acland St, St Kilda VIC 3182, Australia","point_of_interest, store, establishment",http://www.memomusichall.com.au/,https://www.facebook.com/memomusichall,-37.8671902,144.9786817
Way Out West Roots Music Club,"4 Market St, Newport VIC 3015, Australia","point_of_interest, establishment",https://wowrootsmusic.com/,https://www.facebook.com/WayOutWestRootsMusicClub,-37.8439028,144.8823845
Music Room,"Level 1/270 Lonsdale St, Melbourne VIC 3000, Australia","bar, point_of_interest, establishment",https://her.melbourne/musicroom,https://www.facebook.com/profile.php?id=100076280131316,-37.8115136,144.9641502
Bourke Street Courtyard,"629 Bourke St, Melbourne VIC 3004, Australia","point_of_interest, establishment",,https://www.facebook.com/Bourkestreetcourtyard,-37.8167994,144.9552063
The Count's,"48 Exhibition Walk The Ian Potter Centre for Performing Arts, Monash University Clayton Campus, Clayton VIC 3168, Australia","restaurant, cafe, night_club, bar, food, point_of_interest, establishment",https://www.monash.edu/performing-arts-centres/eat-drink-clayton-campus/,https://www.facebook.com/BatCount,-37.9131481,145.1337317
Howler,"7-11 Dawson St, Brunswick VIC 3056, Australia","bar, point_of_interest, establishment",https://www.howlerbrunswick.com/,https://www.facebook.com/Howlermelbourne,-37.7720304,144.9596527
arcobar heatherton,"8 Arco Ln, Heatherton VIC 3202, Australia","meal_takeaway, bar, cafe, restaurant, point_of_interest, food, store, establishment",http://www.arcobar.com.au/,https://www.facebook.com/arcobarmoorabbin,-37.94673685,145.07837928457485
Revolver Upstairs,"Level 2/229 Chapel St, Prahran VIC 3181, Australia","bar, restaurant, point_of_interest, food, establishment",http://revolverupstairs.com.au/,https://www.facebook.com/revolverupstairs,-37.8505902,144.9933469
THE CURTIN (John Curtin hotel),"29 Lygon St, Carlton VIC 3053, Australia","bar, restaurant, point_of_interest, food, establishment",http://www.johncurtinhotel.com/,https://www.facebook.com/theCURTIN,-37.8061581,144.9657057
Lyrebird Lounge,"61 Glen Eira Rd, Ripponlea VIC 3185, Australia","bar, restaurant, point_of_interest, food, establishment",http://www.lyrebirdlounge.com.au/,https://www.facebook.com/lyrebirdlounge07,-37.8766692,144.9970761
The JazzLab - Bennetts Lane Jazz Club Brunswick,"27 Leslie St, Brunswick VIC 3056, Australia","point_of_interest, establishment",https://thejazzlab.com.au/,https://www.facebook.com/Bennettslane,-37.766903,144.9586498
Blondie Bar,"Cnr Southbank Boulevard &, 31 Sturt St, Southbank VIC 3006, Australia","restaurant, night_club, meal_takeaway, park, bar, food, point_of_interest, establishment",http://www.blondiebar.com.au/,https://www.facebook.com/profile.php?id=100089831631577,-37.8238338,144.9678462
Baxter's,"302 Brunswick St, Fitzroy VIC 3065, Australia","bar, point_of_interest, establishment",http://www.baxterslivemusic.com.au/,https://www.facebook.com/BaxterMelbourneSalon,-37.7981225,144.978682
